,id,created_at,text,source,label
0,870430762255953920,Fri Jun 02 00:04:00 +0000 2017,"Hey, look - I found my social anxiety again. Was wondering where that went.","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",-1
1,870430770141253632,Fri Jun 02 00:04:02 +0000 2017,RT @shannonpurser: Depression sucks. I'm in the middle of it rn. I know some of you are too. We're going to make it.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
2,870430771592413187,Fri Jun 02 00:04:02 +0000 2017,RT @HRoyalThighness: Lol my social anxiety goes through the roof. Dunno bout this one mate lol https://t.co/9vTMgnRK7X,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
3,870430772800479233,Fri Jun 02 00:04:02 +0000 2017,"How to Deal with Stress, Anxiety and Bipolar Disorder - Anxiety is one of many troubling symptoms of bipolar di... https://t.co/34Al3y4eAE","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",-1
4,870430776432644096,Fri Jun 02 00:04:03 +0000 2017,RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
5,870430779439841280,Fri Jun 02 00:04:04 +0000 2017,@sabbunny I went there last Monday and I almost had an anxiety attack. there were so many people😩but we only spent… https://t.co/tnF3zXXl5T,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
6,870430780425723904,Fri Jun 02 00:04:04 +0000 2017,RT @loopzoop: Hello? 2 hour depression nap? Do you remember me...in monaco... i made u that bracelet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
7,870430781927288833,Fri Jun 02 00:04:04 +0000 2017,Gossip Girl and Donald Trump give me so much anxiety,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
8,870430784678703104,Fri Jun 02 00:04:05 +0000 2017,"RT @lucasbavid: Me: I am gonna make art today, there's no reason to be depressed all day
My depression: https://t.co/uOD0RacMpB","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
9,870430796485726208,Fri Jun 02 00:04:08 +0000 2017,I'm glad I understand what it is now tho. I used to go through anxiety attacks &amp; be confused &amp; make it worse.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
10,870430797723033601,Fri Jun 02 00:04:08 +0000 2017,RT @humansofny: “I don’t think I’m going to miss eighth grade. It’s been a tough year. A lot of my friends are struggling with depr… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
11,870430799950004224,Fri Jun 02 00:04:09 +0000 2017,"RT @RTFFacts: According to studies, high-anxiety people are more likely to make bad decisions because they tend to catastrophize uncertain…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-1
12,870430802575753216,Fri Jun 02 00:04:09 +0000 2017,"Anyone looking for organic products that can help with; boosting energy, depression, pain, inflammation, diabetes, sleep, and more. DM me 🤙","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
13,870430804446289921,Fri Jun 02 00:04:10 +0000 2017,RT @oraltwjnk: Depression https://t.co/g4QIZjnRj1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
14,870430804895313920,Fri Jun 02 00:04:10 +0000 2017,UR PRECIOUS AND ADORABLE HBAHDDHADDBAJ https://t.co/MR6GwE7Aex,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
15,870430807592140801,Fri Jun 02 00:04:11 +0000 2017,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
16,870430807344779264,Fri Jun 02 00:04:10 +0000 2017,"I am delighted to pledge support for people with mental health problems, in line with Mind's manifesto:... https://t.co/WWYmwnQO68","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",1
17,870430814433144832,Fri Jun 02 00:04:12 +0000 2017,It’s time for physicists to talk about mental health https://t.co/R1bRZG9gpD,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",1
18,870430815473332224,Fri Jun 02 00:04:12 +0000 2017,RT @bpHopeMag: The Ultimate Guide To Social Anxiety and Bipolar Disorder: https://t.co/e4tlm4lrRB #Bipolar #MentalHealth,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",1
19,870430819134734336,Fri Jun 02 00:04:13 +0000 2017,I like how we believe and know many depression and mood swing issues are spiritual battles. We can't be cloud... https://t.co/WiyQLfopAO,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",0
20,870430820791726080,Fri Jun 02 00:04:14 +0000 2017,RT @_Liviiiiii: it's fucking me https://t.co/808i3s7hmQ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
21,870430822129582080,Fri Jun 02 00:04:14 +0000 2017,y'all i was having an anxiety attack yesterday thinking i wouldn't be able to go to school tomorrow bc i had no gas and couldn't pay tuition,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
22,870430829331316736,Fri Jun 02 00:04:16 +0000 2017,When your anxiety makes you constantly feel nauseous. It's been almost a week. Ugh. 🤢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
23,870430838915293184,Fri Jun 02 00:04:18 +0000 2017,RT @humansofny: “I don’t think I’m going to miss eighth grade. It’s been a tough year. A lot of my friends are struggling with depr… ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
24,870430839343124481,Fri Jun 02 00:04:18 +0000 2017,How food can improve your mental health - BBC News https://t.co/m2pEnai7yf https://t.co/BaMJtKNlJi,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>",1
25,870430840412569600,Fri Jun 02 00:04:18 +0000 2017,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
26,870430843713540096,Fri Jun 02 00:04:19 +0000 2017,"RT @roinnslainte: ""The NFMHS project has been a priority for me as Minister and I’m delighted to see it progress this far"" -… ","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",1
27,870430845147914240,Fri Jun 02 00:04:19 +0000 2017,i gotta beat this depression. beat it in the face.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
28,870430848838971394,Fri Jun 02 00:04:20 +0000 2017,Depression cure? Taking THIS every day could help symptoms https://t.co/WXAiakGChA,"<a href=""http://xyblu.com/ke"" rel=""nofollow"">déjàvui</a>",1
29,870430849606402048,Fri Jun 02 00:04:21 +0000 2017,RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
30,870430849715630080,Fri Jun 02 00:04:21 +0000 2017,"RT @ABC: First lady Melania Trump calls Kathy Griffin's photo ""very disturbing""; ""makes you wonder about the mental health o… ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
31,870430850583732224,Fri Jun 02 00:04:21 +0000 2017,RT @RevoltTV: Prayers up 🙏 @AugustAlsina got real about his battle with depression &amp; liver disease #PositiveVibesONLY #watchREVOLT https://…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
32,870430852605333504,Fri Jun 02 00:04:21 +0000 2017,RT @scottsantens: Annual incomes and employment rates don't show the massive amount of variance in our monthly earnings. A… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
33,870430853062688768,Fri Jun 02 00:04:21 +0000 2017,Depression Era Dishes: 9 Budget Recipes That Are Still Good Enough To Eat Today https://t.co/2mFIw1422T,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",0
34,870430853582790658,Fri Jun 02 00:04:21 +0000 2017,RT @mistercakerz: DID THE #sleeppositionmeme by @time2slime !! IT ME SLEEPING AWAY MY ANXIETY- I MEAN SLEEPING FROM A HARD DAY OF WOR… ,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
35,870430859966398465,Fri Jun 02 00:04:23 +0000 2017,RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
36,870430863493918720,Fri Jun 02 00:04:24 +0000 2017,RT @TaylereGang: Lmao: Laughing My Anxiety Off.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
37,870430864324382720,Fri Jun 02 00:04:24 +0000 2017,RT @khiefceefs: your wcw sleeps a lot but gets things done. she's emotional and greedy but cares about your well being and mental health. i…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
38,870430867918692353,Fri Jun 02 00:04:25 +0000 2017,RT @lifeaseva: Can we all stop treating anxiety like it's a choice and something cool to have thank you,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
39,870430866941640704,Fri Jun 02 00:04:25 +0000 2017,Depression + anxiety x madness = artist &amp; contemporary art  @ https://t.co/3Urxf21J9b  - London @nytimes @WSJ… https://t.co/PBAHtyCjOW,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",-1
40,870430868598251520,Fri Jun 02 00:04:25 +0000 2017,"RT @3amfeels: My neck, my back, my anxiety attack","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
41,870430876970045440,Fri Jun 02 00:04:27 +0000 2017,"""Come and watch the skinny kid with a steadily declining mental health, and laugh as he attempts to give you what he cannot give himself""","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
42,870430877435568128,Fri Jun 02 00:04:27 +0000 2017,RT @lifeaseva: RESPECT AND ACKNOWLEDGE PEOPLE WITH MENTAL HEALTH PROBLEMS IT IS A REAL THING AND NOT SOMETHING ANYONE CHOOSES TO LIVE WITH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
43,870430879612420097,Fri Jun 02 00:04:28 +0000 2017,"RT @Kon__K: Men, seeking help for depression, anxiety or any mental health issue is an act of self - love that you deserve. Don't suffer in…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0
44,870430879553904640,Fri Jun 02 00:04:28 +0000 2017,RT @LateefAce: Your MCM has been bullying people on the TL for years then drops a blog post about depression.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-1
45,870430883349753857,Fri Jun 02 00:04:29 +0000 2017,"I mean, I've seen people celebrating a scene where Wiccan says how he was so corageous for having anxiety (from New Avengers I think?)","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",-1
46,870430885849464833,Fri Jun 02 00:04:29 +0000 2017,How Childhood Trauma Can Affect Mental and Physical Health Into Adulthood https://t.co/9AMTzLiAJS,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",-1
47,870430886101217281,Fri Jun 02 00:04:29 +0000 2017,RT @Fareisofficial: How do I uninstall anxiety from my life?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-1
48,870430890056437760,Fri Jun 02 00:04:30 +0000 2017,RT @TaliaMarMusic: I'm literally anxiety level 10 today 😫 so frustrating not being able to shut it off,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
49,870430890404524032,Fri Jun 02 00:04:30 +0000 2017,"Goldman Sachs has engineered every major market manipulation since the Great Depression,they're about to do it again https://t.co/SSMSNJo24I","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
50,870430892992409601,Fri Jun 02 00:04:31 +0000 2017,RT @fatimaxkhan: Imagine a life without anxiety and stress... wowowow,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-1
51,870430894703616000,Fri Jun 02 00:04:31 +0000 2017,RT @31ltolox: @girlhermes @philipseidl @Lilylitebug @HackedOffHugh Don't be silly. I served my daughter up a steaming plate of my… ,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",-1
52,870430903775907841,Fri Jun 02 00:04:33 +0000 2017,RT @Vallllentine: friendly reminder that you have no obligation to any family members or friends that are toxic to your mental or physical…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
